date,open,high,low,close,volume
2025-10-01 09:15:00+05:30,991.5,1000.0,991.15,995.5,84847
2025-10-01 09:16:00+05:30,995.0,996.2,993.1,994.0,44708
2025-10-01 09:17:00+05:30,993.95,996.8,993.2,995.8,35016
2025-10-01 09:18:00+05:30,995.5,995.75,993.05,993.05,18760
2025-10-01 09:19:00+05:30,993.05,993.25,992.15,993.0,23854
2025-10-01 09:20:00+05:30,992.3,993.95,992.3,993.95,23792
2025-10-01 09:21:00+05:30,993.95,994.4,993.15,994.4,19504
2025-10-01 09:22:00+05:30,994.4,994.5,993.4,993.8,15021
2025-10-01 09:23:00+05:30,993.75,993.75,992.25,992.5,33717
2025-10-01 09:24:00+05:30,992.25,992.5,990.15,990.3,31261
2025-10-01 09:25:00+05:30,990.15,990.55,989.0,989.2,45885
2025-10-01 09:26:00+05:30,989.3,990.05,989.0,989.95,40106
2025-10-01 09:27:00+05:30,989.95,990.25,989.05,989.65,18885
2025-10-01 09:28:00+05:30,989.65,990.1,989.3,989.5,12366
2025-10-01 09:29:00+05:30,988.95,989.45,988.15,989.1,19039
2025-10-01 09:30:00+05:30,988.8,989.4,987.6,988.45,28154
2025-10-01 09:31:00+05:30,988.5,988.55,987.1,988.15,13885
2025-10-01 09:32:00+05:30,988.3,988.35,986.0,986.35,29234
2025-10-01 09:33:00+05:30,986.2,986.25,985.2,985.5,18236
2025-10-01 09:34:00+05:30,985.5,986.15,984.5,986.1,61331
2025-10-01 09:35:00+05:30,985.55,987.2,985.1,987.2,29263
2025-10-01 09:36:00+05:30,987.05,987.85,986.35,986.75,45293
2025-10-01 09:37:00+05:30,986.75,987.8,985.55,985.8,16614
2025-10-01 09:38:00+05:30,985.8,986.05,985.5,985.95,10407
2025-10-01 09:39:00+05:30,985.9,986.0,984.7,985.1,20815
2025-10-01 09:40:00+05:30,984.7,985.05,984.0,984.2,36198
2025-10-01 09:41:00+05:30,984.2,984.85,984.2,984.75,7163
2025-10-01 09:42:00+05:30,984.75,984.75,983.05,983.75,22792
2025-10-01 09:43:00+05:30,983.75,985.9,983.75,985.25,14103
2025-10-01 09:44:00+05:30,985.25,985.8,985.0,985.55,9981
2025-10-01 09:45:00+05:30,985.8,985.85,985.5,985.6,16393
2025-10-01 09:46:00+05:30,985.5,985.7,985.0,985.35,23197
2025-10-01 09:47:00+05:30,985.35,985.4,984.2,984.35,15759
2025-10-01 09:48:00+05:30,984.35,985.0,984.2,984.9,4406
2025-10-01 09:49:00+05:30,984.9,985.7,984.9,985.7,12732
2025-10-01 09:50:00+05:30,985.65,985.7,985.0,985.3,21913
2025-10-01 09:51:00+05:30,985.3,985.3,984.1,984.2,18584
2025-10-01 09:52:00+05:30,984.2,984.5,983.6,984.0,13034
2025-10-01 09:53:00+05:30,984.0,984.3,983.05,983.4,15397
2025-10-01 09:54:00+05:30,983.15,983.55,982.05,983.0,35654
2025-10-01 09:55:00+05:30,984.5,985.85,984.5,985.8,60286
2025-10-01 09:56:00+05:30,985.6,986.25,985.6,985.85,17038
2025-10-01 09:57:00+05:30,985.85,986.35,985.65,986.05,13837
2025-10-01 09:58:00+05:30,986.05,987.45,985.65,987.3,16161
2025-10-01 09:59:00+05:30,987.0,987.8,987.0,987.3,17048
2025-10-01 10:00:00+05:30,987.5,988.4,987.5,988.05,38464
2025-10-01 10:01:00+05:30,988.05,988.4,988.0,988.0,25890
2025-10-01 10:02:00+05:30,988.1,988.4,986.8,987.3,30506
2025-10-01 10:03:00+05:30,987.3,988.0,985.0,985.2,24615
2025-10-01 10:04:00+05:30,985.15,985.2,983.0,983.0,24508
2025-10-01 10:05:00+05:30,982.9,982.9,980.55,980.55,33913
2025-10-01 10:06:00+05:30,980.55,980.85,979.35,980.4,64392
2025-10-01 10:07:00+05:30,980.35,981.0,978.35,980.75,46961
2025-10-01 10:08:00+05:30,980.6,981.95,980.3,981.7,22051
2025-10-01 10:09:00+05:30,981.4,981.8,980.65,981.0,30914
2025-10-01 10:10:00+05:30,981.25,981.25,979.65,980.1,25165
2025-10-01 10:11:00+05:30,980.0,980.55,979.4,980.2,16493
2025-10-01 10:12:00+05:30,980.1,980.55,979.4,979.5,14788
2025-10-01 10:13:00+05:30,979.25,980.8,979.0,980.8,9612
2025-10-01 10:14:00+05:30,980.5,980.8,979.85,980.0,13072
2025-10-01 10:15:00+05:30,979.85,980.1,978.35,978.4,11188
2025-10-01 10:16:00+05:30,978.4,979.3,978.1,978.2,33486
2025-10-01 10:17:00+05:30,978.1,980.0,977.75,979.8,20382
2025-10-01 10:18:00+05:30,979.8,979.8,979.4,979.6,15346
2025-10-01 10:19:00+05:30,979.6,980.6,978.6,978.95,20960
2025-10-01 10:20:00+05:30,978.95,982.7,978.5,982.45,25198
2025-10-01 10:21:00+05:30,982.45,983.0,982.25,982.9,13168
2025-10-01 10:22:00+05:30,982.75,982.9,981.05,982.5,17932
2025-10-01 10:23:00+05:30,982.5,982.9,981.1,981.5,14961
2025-10-01 10:24:00+05:30,981.15,982.0,981.15,981.95,8023
2025-10-01 10:25:00+05:30,981.95,982.75,981.95,982.6,8300
2025-10-01 10:26:00+05:30,982.15,982.8,982.0,982.4,6931
2025-10-01 10:27:00+05:30,982.3,983.7,982.3,983.55,9380
2025-10-01 10:28:00+05:30,983.7,985.0,983.6,985.0,39571
2025-10-01 10:29:00+05:30,985.0,986.05,984.9,985.55,23355
2025-10-01 10:30:00+05:30,986.0,986.8,985.6,986.75,24595
2025-10-01 10:31:00+05:30,986.75,987.8,986.55,987.8,17312
2025-10-01 10:32:00+05:30,987.8,988.7,987.7,988.25,30141
2025-10-01 10:33:00+05:30,988.25,988.5,986.55,986.85,11855
2025-10-01 10:34:00+05:30,986.85,987.0,986.05,986.7,18294
2025-10-01 10:35:00+05:30,986.7,987.1,986.05,986.05,10500
2025-10-01 10:36:00+05:30,986.05,987.65,986.0,986.7,9811
2025-10-01 10:37:00+05:30,986.8,987.6,986.55,987.5,7650
2025-10-01 10:38:00+05:30,987.4,987.45,986.7,986.8,7982
2025-10-01 10:39:00+05:30,986.8,986.8,986.05,986.05,11650
2025-10-01 10:40:00+05:30,986.05,986.9,986.05,986.7,11653
2025-10-01 10:41:00+05:30,986.55,987.3,986.55,987.25,5906
2025-10-01 10:42:00+05:30,987.0,987.3,987.0,987.1,6840
2025-10-01 10:43:00+05:30,987.1,987.1,986.55,986.75,9480
2025-10-01 10:44:00+05:30,986.75,987.05,986.0,986.1,16740
2025-10-01 10:45:00+05:30,985.95,986.15,984.2,984.7,23166
2025-10-01 10:46:00+05:30,984.7,984.85,984.1,984.6,9708
2025-10-01 10:47:00+05:30,984.6,985.0,984.15,985.0,11235
2025-10-01 10:48:00+05:30,985.35,985.9,985.0,985.8,6294
2025-10-01 10:49:00+05:30,985.8,986.5,985.8,986.5,7673
2025-10-01 10:50:00+05:30,986.5,986.5,985.5,985.75,13979
2025-10-01 10:51:00+05:30,985.75,985.75,984.75,984.8,7173
2025-10-01 10:52:00+05:30,984.8,985.05,984.15,984.4,9783
2025-10-01 10:53:00+05:30,984.4,985.05,983.75,984.15,19847
2025-10-01 10:54:00+05:30,984.15,984.2,983.1,983.85,17462
2025-10-01 10:55:00+05:30,983.85,984.75,983.0,983.5,24234
2025-10-01 10:56:00+05:30,983.5,984.4,983.5,984.25,9610
2025-10-01 10:57:00+05:30,984.25,984.6,984.0,984.4,5336
2025-10-01 10:58:00+05:30,984.4,985.2,984.1,985.15,6143
2025-10-01 10:59:00+05:30,984.8,985.25,984.0,984.0,10708
2025-10-01 11:00:00+05:30,984.45,984.65,983.3,983.95,43553
2025-10-01 11:01:00+05:30,983.95,984.0,983.0,983.2,7171
2025-10-01 11:02:00+05:30,983.0,983.9,982.85,983.3,14597
2025-10-01 11:03:00+05:30,983.3,985.65,983.3,985.3,13571
2025-10-01 11:04:00+05:30,985.3,985.65,982.35,982.8,20092
2025-10-01 11:05:00+05:30,982.65,983.8,982.65,983.65,10135
2025-10-01 11:06:00+05:30,983.65,983.8,983.15,983.45,7803
2025-10-01 11:07:00+05:30,983.5,983.5,982.7,982.8,15102
2025-10-01 11:08:00+05:30,982.85,983.65,982.8,983.25,10757
2025-10-01 11:09:00+05:30,983.25,983.8,983.25,983.6,5100
2025-10-01 11:10:00+05:30,983.6,984.15,983.3,983.9,7708
2025-10-01 11:11:00+05:30,984.0,984.6,983.9,984.3,8976
2025-10-01 11:12:00+05:30,984.65,986.7,984.2,986.25,17615
2025-10-01 11:13:00+05:30,986.5,987.0,985.85,985.85,11296
2025-10-01 11:14:00+05:30,985.85,986.15,985.1,986.0,10444
2025-10-01 11:15:00+05:30,986.65,987.6,986.2,987.6,15611
2025-10-01 11:16:00+05:30,987.8,987.8,986.8,987.0,8099
2025-10-01 11:17:00+05:30,987.15,987.35,987.0,987.1,5863
2025-10-01 11:18:00+05:30,987.15,987.2,985.75,985.75,11120
2025-10-01 11:19:00+05:30,985.9,986.3,985.35,985.35,19826
2025-10-01 11:20:00+05:30,985.35,986.6,985.35,986.05,22894
2025-10-01 11:21:00+05:30,986.1,986.1,985.5,985.65,7016
2025-10-01 11:22:00+05:30,985.65,986.0,985.4,985.75,6310
2025-10-01 11:23:00+05:30,985.5,985.7,985.15,985.35,7635
2025-10-01 11:24:00+05:30,985.35,985.4,984.2,984.85,16674
2025-10-01 11:25:00+05:30,984.9,985.4,984.85,985.35,8060
2025-10-01 11:26:00+05:30,985.2,985.65,985.2,985.25,5228
2025-10-01 11:27:00+05:30,985.25,985.75,984.0,984.8,21166
2025-10-01 11:28:00+05:30,984.65,984.85,983.7,983.7,16513
2025-10-01 11:29:00+05:30,983.55,983.55,982.7,983.15,15488
2025-10-01 11:30:00+05:30,983.1,984.15,983.1,983.9,7927
2025-10-01 11:31:00+05:30,983.9,984.35,983.75,984.2,6766
2025-10-01 11:32:00+05:30,984.2,984.45,982.9,983.0,9439
2025-10-01 11:33:00+05:30,983.05,983.95,982.9,983.85,10449
2025-10-01 11:34:00+05:30,983.85,983.95,983.35,983.9,6450
2025-10-01 11:35:00+05:30,983.9,984.8,983.5,983.95,13823
2025-10-01 11:36:00+05:30,983.95,984.35,983.5,983.7,8534
2025-10-01 11:37:00+05:30,983.7,983.95,983.4,983.45,18877
2025-10-01 11:38:00+05:30,983.45,983.9,983.15,983.55,11617
2025-10-01 11:39:00+05:30,983.55,984.0,983.05,983.15,6169
2025-10-01 11:40:00+05:30,983.2,983.65,983.0,983.0,8955
2025-10-01 11:41:00+05:30,983.0,983.55,982.7,983.05,12456
2025-10-01 11:42:00+05:30,983.05,983.75,982.9,983.45,8274
2025-10-01 11:43:00+05:30,983.4,984.5,983.35,983.95,5973
2025-10-01 11:44:00+05:30,984.0,984.35,983.65,984.25,4916
2025-10-01 11:45:00+05:30,984.35,984.75,984.3,984.45,5812
2025-10-01 11:46:00+05:30,984.45,984.45,983.8,984.0,4204
2025-10-01 11:47:00+05:30,984.0,984.25,983.85,984.0,5636
2025-10-01 11:48:00+05:30,984.0,984.0,983.4,983.55,6588
2025-10-01 11:49:00+05:30,983.4,984.0,983.3,983.8,5569
2025-10-01 11:50:00+05:30,983.65,984.3,983.65,983.8,5320
2025-10-01 11:51:00+05:30,983.8,984.25,983.75,983.9,4507
2025-10-01 11:52:00+05:30,984.25,984.25,982.0,982.0,33395
2025-10-01 11:53:00+05:30,982.1,983.15,982.05,982.6,17757
2025-10-01 11:54:00+05:30,982.65,984.25,982.6,984.05,9744
2025-10-01 11:55:00+05:30,984.05,984.45,983.15,984.0,4347
2025-10-01 11:56:00+05:30,984.0,984.5,984.0,984.4,7027
2025-10-01 11:57:00+05:30,984.4,985.3,984.3,985.3,8346
2025-10-01 11:58:00+05:30,985.3,985.3,984.6,984.6,15413
2025-10-01 11:59:00+05:30,984.6,985.35,984.6,985.1,14970
2025-10-01 12:00:00+05:30,985.05,985.4,984.85,984.85,10705
2025-10-01 12:01:00+05:30,984.95,985.5,984.85,985.15,20312
2025-10-01 12:02:00+05:30,985.25,985.35,984.95,985.0,13834
2025-10-01 12:03:00+05:30,985.25,985.8,984.85,984.95,49368
2025-10-01 12:04:00+05:30,984.95,986.5,984.95,985.45,30765
2025-10-01 12:05:00+05:30,985.5,986.6,985.5,986.2,10942
2025-10-01 12:06:00+05:30,986.35,986.6,986.05,986.55,8358
2025-10-01 12:07:00+05:30,986.55,987.2,986.15,986.2,22356
2025-10-01 12:08:00+05:30,986.55,986.85,985.7,985.7,10817
2025-10-01 12:09:00+05:30,985.7,986.3,985.45,985.65,10898
2025-10-01 12:10:00+05:30,985.65,985.9,984.0,984.3,16408
2025-10-01 12:11:00+05:30,984.3,985.3,983.5,985.3,31038
2025-10-01 12:12:00+05:30,985.4,986.1,985.35,985.9,13171
2025-10-01 12:13:00+05:30,986.0,986.45,985.8,985.8,8179
2025-10-01 12:14:00+05:30,985.85,986.5,985.8,985.95,5569
2025-10-01 12:15:00+05:30,986.0,986.25,985.8,985.8,7538
2025-10-01 12:16:00+05:30,985.85,986.45,985.8,986.35,7547
2025-10-01 12:17:00+05:30,986.4,986.5,985.25,985.25,7941
2025-10-01 12:18:00+05:30,985.55,986.05,985.35,985.75,5907
2025-10-01 12:19:00+05:30,985.8,985.95,985.25,985.5,6302
2025-10-01 12:20:00+05:30,985.55,985.65,985.25,985.4,5409
2025-10-01 12:21:00+05:30,985.0,985.95,984.65,985.7,9825
2025-10-01 12:22:00+05:30,985.75,985.85,985.0,985.25,4387
2025-10-01 12:23:00+05:30,985.3,985.7,985.1,985.2,6189
2025-10-01 12:24:00+05:30,985.2,985.2,984.5,984.85,6036
2025-10-01 12:25:00+05:30,984.85,985.0,984.1,984.6,7754
2025-10-01 12:26:00+05:30,984.7,985.9,984.45,985.75,7194
2025-10-01 12:27:00+05:30,985.75,986.15,985.65,986.05,4835
2025-10-01 12:28:00+05:30,986.05,986.5,985.45,986.2,6164
2025-10-01 12:29:00+05:30,986.25,986.75,986.25,986.65,9053
2025-10-01 12:30:00+05:30,986.7,986.8,986.0,986.4,7375
2025-10-01 12:31:00+05:30,986.65,986.65,986.3,986.45,5128
2025-10-01 12:32:00+05:30,986.5,987.0,986.5,986.75,7365
2025-10-01 12:33:00+05:30,986.85,987.0,985.85,986.4,15980
2025-10-01 12:34:00+05:30,986.45,987.1,986.4,987.05,16484
2025-10-01 12:35:00+05:30,987.1,987.75,987.05,987.15,9086
2025-10-01 12:36:00+05:30,987.15,987.35,987.0,987.2,14523
2025-10-01 12:37:00+05:30,987.0,987.75,986.95,987.35,22480
2025-10-01 12:38:00+05:30,987.35,987.65,987.35,987.5,9726
2025-10-01 12:39:00+05:30,987.6,987.95,987.55,987.8,6550
2025-10-01 12:40:00+05:30,987.85,987.95,987.1,987.6,10145
2025-10-01 12:41:00+05:30,987.6,987.65,987.0,987.0,7902
2025-10-01 12:42:00+05:30,987.1,987.35,987.0,987.35,6804
2025-10-01 12:43:00+05:30,987.25,987.65,987.2,987.25,7362
2025-10-01 12:44:00+05:30,987.25,987.7,987.25,987.5,7779
2025-10-01 12:45:00+05:30,987.5,987.7,987.5,987.7,6535
2025-10-01 12:46:00+05:30,987.65,987.65,987.0,987.2,10909
2025-10-01 12:47:00+05:30,987.2,987.4,987.0,987.15,14917
2025-10-01 12:48:00+05:30,987.2,987.8,987.2,987.8,10506
2025-10-01 12:49:00+05:30,987.8,988.45,987.75,988.4,9400
2025-10-01 12:50:00+05:30,988.45,988.45,988.25,988.25,7511
2025-10-01 12:51:00+05:30,988.3,988.3,987.4,987.4,5381
2025-10-01 12:52:00+05:30,987.3,988.05,987.25,987.95,9263
2025-10-01 12:53:00+05:30,987.95,988.25,987.7,988.15,8392
2025-10-01 12:54:00+05:30,988.15,988.25,988.0,988.0,3092
2025-10-01 12:55:00+05:30,988.05,988.05,987.15,987.75,7414
2025-10-01 12:56:00+05:30,987.9,987.9,987.0,987.6,5851
2025-10-01 12:57:00+05:30,987.65,987.65,987.0,987.15,9242
2025-10-01 12:58:00+05:30,987.15,987.15,986.5,986.75,11549
