date,open,high,low,close,volume
2025-10-01 09:15:00+05:30,402.0,402.75,399.35,400.25,216625
2025-10-01 09:16:00+05:30,400.25,400.9,399.55,400.9,88220
2025-10-01 09:17:00+05:30,400.8,402.25,400.75,402.25,71185
2025-10-01 09:18:00+05:30,402.2,403.15,401.9,402.3,88670
2025-10-01 09:19:00+05:30,402.3,403.75,402.3,403.75,72292
2025-10-01 09:20:00+05:30,403.65,403.65,402.45,402.95,63898
2025-10-01 09:21:00+05:30,402.95,403.5,402.75,402.8,62224
2025-10-01 09:22:00+05:30,402.85,403.0,402.1,402.35,38815
2025-10-01 09:23:00+05:30,402.15,402.75,402.15,402.6,31587
2025-10-01 09:24:00+05:30,402.6,403.2,402.6,402.95,50030
2025-10-01 09:25:00+05:30,402.95,403.3,402.9,402.95,38442
2025-10-01 09:26:00+05:30,402.9,402.9,402.4,402.55,21001
2025-10-01 09:27:00+05:30,402.5,403.0,402.4,402.7,17683
2025-10-01 09:28:00+05:30,402.7,402.9,402.5,402.75,43019
2025-10-01 09:29:00+05:30,402.85,403.3,402.65,403.25,43060
2025-10-01 09:30:00+05:30,403.25,403.5,403.2,403.3,45611
2025-10-01 09:31:00+05:30,403.35,403.35,402.55,402.7,63838
2025-10-01 09:32:00+05:30,402.6,402.75,402.5,402.65,19937
2025-10-01 09:33:00+05:30,402.65,403.0,402.55,402.65,19433
2025-10-01 09:34:00+05:30,402.8,402.8,402.3,402.3,23691
2025-10-01 09:35:00+05:30,402.35,402.75,402.2,402.5,21281
2025-10-01 09:36:00+05:30,402.5,403.1,402.4,403.1,14389
2025-10-01 09:37:00+05:30,403.0,403.15,402.9,403.0,32157
2025-10-01 09:38:00+05:30,402.8,403.15,402.8,403.1,13867
2025-10-01 09:39:00+05:30,403.15,403.25,403.05,403.25,48415
2025-10-01 09:40:00+05:30,403.2,404.3,403.1,404.05,83819
2025-10-01 09:41:00+05:30,404.1,404.8,404.1,404.8,100881
2025-10-01 09:42:00+05:30,404.8,405.35,404.8,404.9,82251
2025-10-01 09:43:00+05:30,404.9,404.9,404.15,404.4,38460
2025-10-01 09:44:00+05:30,404.55,404.8,404.4,404.6,14386
2025-10-01 09:45:00+05:30,404.55,404.8,404.35,404.65,36957
2025-10-01 09:46:00+05:30,404.45,404.85,404.3,404.8,18680
2025-10-01 09:47:00+05:30,404.8,405.3,404.75,405.15,147899
2025-10-01 09:48:00+05:30,405.1,406.4,405.1,406.4,123306
2025-10-01 09:49:00+05:30,406.3,406.9,406.15,406.85,119150
2025-10-01 09:50:00+05:30,407.25,407.6,406.6,406.7,95853
2025-10-01 09:51:00+05:30,406.6,406.7,406.1,406.25,45396
2025-10-01 09:52:00+05:30,406.35,407.0,406.1,406.45,91062
2025-10-01 09:53:00+05:30,406.45,406.6,406.0,406.2,38851
2025-10-01 09:54:00+05:30,406.35,406.5,406.2,406.5,22780
2025-10-01 09:55:00+05:30,406.5,406.5,406.2,406.25,13490
2025-10-01 09:56:00+05:30,406.25,406.25,405.6,405.9,40071
2025-10-01 09:57:00+05:30,405.9,406.95,405.85,406.75,68755
2025-10-01 09:58:00+05:30,406.75,406.8,406.3,406.3,125197
2025-10-01 09:59:00+05:30,406.3,406.45,406.0,406.0,21482
2025-10-01 10:00:00+05:30,406.15,406.65,406.0,406.6,47885
2025-10-01 10:01:00+05:30,406.65,406.65,406.1,406.2,9839
2025-10-01 10:02:00+05:30,406.2,406.25,406.0,406.1,29350
2025-10-01 10:03:00+05:30,406.1,406.15,405.15,405.6,51615
2025-10-01 10:04:00+05:30,405.6,405.7,405.15,405.15,28006
2025-10-01 10:05:00+05:30,405.15,405.3,404.8,404.95,44614
2025-10-01 10:06:00+05:30,404.8,405.45,404.75,405.35,28370
