date,open,high,low,close,volume
2025-10-01 09:15:00+05:30,761.9,766.85,761.05,761.1,53528
2025-10-01 09:16:00+05:30,761.1,761.1,760.1,760.45,14924
2025-10-01 09:17:00+05:30,760.55,761.15,760.2,760.9,17803
2025-10-01 09:18:00+05:30,760.6,760.8,759.85,760.0,13652
2025-10-01 09:19:00+05:30,760.5,760.5,759.4,759.4,9671
2025-10-01 09:20:00+05:30,759.35,759.35,757.75,758.8,27375
2025-10-01 09:21:00+05:30,758.65,759.55,758.65,758.9,15980
2025-10-01 09:22:00+05:30,759.05,759.1,758.0,758.0,23916
2025-10-01 09:23:00+05:30,758.0,758.5,757.75,758.5,18009
2025-10-01 09:24:00+05:30,758.35,759.0,757.25,759.0,15405
2025-10-01 09:25:00+05:30,759.15,760.1,759.15,759.85,26628
2025-10-01 09:26:00+05:30,759.6,760.05,759.35,759.7,19561
2025-10-01 09:27:00+05:30,759.7,759.95,759.35,759.95,17740
2025-10-01 09:28:00+05:30,760.35,760.4,760.2,760.35,14853
2025-10-01 09:29:00+05:30,760.0,761.5,759.6,761.35,41290
2025-10-01 09:30:00+05:30,761.0,761.6,760.95,761.15,17888
2025-10-01 09:31:00+05:30,761.1,762.2,760.8,761.55,36185
2025-10-01 09:32:00+05:30,761.6,763.7,761.45,763.45,28065
2025-10-01 09:33:00+05:30,763.3,764.5,763.3,763.65,29090
2025-10-01 09:34:00+05:30,763.65,763.9,763.3,763.85,14659
2025-10-01 09:35:00+05:30,763.85,764.35,763.35,763.35,10964
2025-10-01 09:36:00+05:30,763.35,763.5,763.15,763.3,2101
2025-10-01 09:37:00+05:30,763.3,763.3,763.1,763.2,4740
2025-10-01 09:38:00+05:30,763.2,763.2,762.65,762.8,4353
2025-10-01 09:39:00+05:30,762.8,763.0,762.5,762.7,12160
2025-10-01 09:40:00+05:30,762.7,763.2,762.7,763.2,4827
2025-10-01 09:41:00+05:30,763.05,763.6,763.05,763.5,5680
2025-10-01 09:42:00+05:30,763.5,763.5,762.85,762.85,4890
2025-10-01 09:43:00+05:30,763.15,763.15,762.6,762.85,5150
2025-10-01 09:44:00+05:30,762.85,762.85,762.55,762.75,6930
2025-10-01 09:45:00+05:30,762.75,762.85,762.35,762.35,5247
2025-10-01 09:46:00+05:30,762.35,762.55,762.1,762.3,3334
2025-10-01 09:47:00+05:30,762.15,762.95,762.15,762.7,6727
2025-10-01 09:48:00+05:30,762.7,763.45,762.7,763.3,4718
2025-10-01 09:49:00+05:30,763.3,763.3,763.0,763.0,764
