date,open,high,low,close,volume
2025-10-01 09:15:00+05:30,294.0,294.5,293.55,293.55,68573
2025-10-01 09:16:00+05:30,293.55,293.75,293.15,293.55,79392
2025-10-01 09:17:00+05:30,293.65,294.5,293.6,294.4,33841
2025-10-01 09:18:00+05:30,294.45,294.7,294.2,294.2,63970
2025-10-01 09:19:00+05:30,294.25,294.35,294.2,294.3,33819
2025-10-01 09:20:00+05:30,294.25,294.35,293.75,294.35,60346
2025-10-01 09:21:00+05:30,294.2,294.25,294.0,294.15,28494
2025-10-01 09:22:00+05:30,294.25,294.35,293.95,293.95,30303
2025-10-01 09:23:00+05:30,293.95,294.2,293.95,294.2,26659
2025-10-01 09:24:00+05:30,294.2,294.4,294.05,294.2,23802
2025-10-01 09:25:00+05:30,294.0,294.2,293.7,293.7,20359
2025-10-01 09:26:00+05:30,293.65,293.65,293.05,293.5,53441
2025-10-01 09:27:00+05:30,293.65,293.65,293.15,293.2,53078
2025-10-01 09:28:00+05:30,293.25,293.5,293.25,293.3,36237
2025-10-01 09:29:00+05:30,293.35,293.8,293.2,293.8,15306
2025-10-01 09:30:00+05:30,293.9,294.2,293.8,294.0,27516
2025-10-01 09:31:00+05:30,294.1,294.2,293.9,294.0,17317
2025-10-01 09:32:00+05:30,293.95,294.15,293.9,294.05,12920
2025-10-01 09:33:00+05:30,294.1,294.15,294.0,294.05,11239
2025-10-01 09:34:00+05:30,294.1,294.35,294.1,294.2,46705
2025-10-01 09:35:00+05:30,294.1,294.3,294.1,294.2,14038
2025-10-01 09:36:00+05:30,294.05,294.35,294.05,294.3,12927
2025-10-01 09:37:00+05:30,294.3,294.75,294.3,294.5,40155
2025-10-01 09:38:00+05:30,294.5,294.65,294.45,294.6,22392
2025-10-01 09:39:00+05:30,294.6,295.0,294.6,295.0,46792
2025-10-01 09:40:00+05:30,294.85,295.0,294.6,294.7,21474
2025-10-01 09:41:00+05:30,294.75,295.25,294.75,295.05,62413
2025-10-01 09:42:00+05:30,295.1,295.35,295.05,295.2,18107
2025-10-01 09:43:00+05:30,295.2,295.3,294.9,295.25,43400
2025-10-01 09:44:00+05:30,295.3,295.45,295.1,295.3,26516
2025-10-01 09:45:00+05:30,295.2,295.4,295.2,295.35,11242
2025-10-01 09:46:00+05:30,295.4,295.4,295.15,295.3,25874
2025-10-01 09:47:00+05:30,295.2,295.4,295.15,295.4,14923
2025-10-01 09:48:00+05:30,295.35,295.4,295.15,295.2,21493
2025-10-01 09:49:00+05:30,295.2,295.55,295.2,295.4,67486
2025-10-01 09:50:00+05:30,295.45,295.45,294.75,294.75,45436
2025-10-01 09:51:00+05:30,295.0,295.3,294.85,295.15,91333
2025-10-01 09:52:00+05:30,295.25,295.25,295.05,295.2,15675
2025-10-01 09:53:00+05:30,295.2,295.2,294.75,294.85,12622
2025-10-01 09:54:00+05:30,294.8,295.15,294.75,295.15,10536
2025-10-01 09:55:00+05:30,295.15,295.2,295.05,295.2,11288
2025-10-01 09:56:00+05:30,295.2,295.2,294.95,294.95,6941
2025-10-01 09:57:00+05:30,295.0,295.0,294.9,294.9,4533
2025-10-01 09:58:00+05:30,294.95,295.15,294.95,295.15,11793
2025-10-01 09:59:00+05:30,295.15,295.2,294.95,295.1,8193
2025-10-01 10:00:00+05:30,295.1,295.2,295.0,295.15,9514
2025-10-01 10:01:00+05:30,295.15,295.2,295.0,295.2,10902
2025-10-01 10:02:00+05:30,295.15,295.2,295.05,295.2,8151
2025-10-01 10:03:00+05:30,295.2,295.2,294.0,294.1,69067
2025-10-01 10:04:00+05:30,294.2,294.2,293.65,293.8,57882
2025-10-01 10:05:00+05:30,293.85,293.85,293.25,293.35,52705
2025-10-01 10:06:00+05:30,293.3,293.75,293.1,293.75,47414
2025-10-01 10:07:00+05:30,293.75,294.3,293.65,294.15,54345
2025-10-01 10:08:00+05:30,294.15,294.35,294.1,294.3,14980
2025-10-01 10:09:00+05:30,294.3,294.5,294.2,294.2,18627
2025-10-01 10:10:00+05:30,294.15,294.15,293.85,294.1,26358
2025-10-01 10:11:00+05:30,294.05,294.3,293.9,294.3,5302
2025-10-01 10:12:00+05:30,294.3,294.3,294.05,294.1,21253
2025-10-01 10:13:00+05:30,294.15,294.2,294.0,294.2,6913
2025-10-01 10:14:00+05:30,294.15,294.65,294.1,294.5,18762
2025-10-01 10:15:00+05:30,294.5,294.65,294.4,294.4,22226
2025-10-01 10:16:00+05:30,294.45,294.85,294.4,294.4,41655
2025-10-01 10:17:00+05:30,294.5,294.6,294.5,294.6,8146
2025-10-01 10:18:00+05:30,294.6,294.9,294.5,294.85,12214
2025-10-01 10:19:00+05:30,294.9,294.9,294.6,294.65,6556
2025-10-01 10:20:00+05:30,294.7,294.75,294.6,294.65,5367
2025-10-01 10:21:00+05:30,294.8,294.8,294.15,294.25,28741
2025-10-01 10:22:00+05:30,294.25,294.3,294.0,294.0,15641
2025-10-01 10:23:00+05:30,294.1,294.3,294.1,294.2,6060
2025-10-01 10:24:00+05:30,294.3,294.45,294.2,294.4,13188
2025-10-01 10:25:00+05:30,294.4,294.55,294.3,294.4,5441
2025-10-01 10:26:00+05:30,294.4,294.5,294.35,294.4,9890
2025-10-01 10:27:00+05:30,294.35,294.35,294.15,294.2,17685
2025-10-01 10:28:00+05:30,294.15,294.3,294.1,294.3,3696
2025-10-01 10:29:00+05:30,294.3,294.4,294.15,294.3,5817
2025-10-01 10:30:00+05:30,294.3,294.55,294.3,294.45,3110
2025-10-01 10:31:00+05:30,294.45,294.7,294.45,294.7,8836
2025-10-01 10:32:00+05:30,294.7,294.85,294.6,294.65,15370
2025-10-01 10:33:00+05:30,294.7,294.7,294.5,294.6,11736
2025-10-01 10:34:00+05:30,294.5,294.6,294.15,294.3,7690
2025-10-01 10:35:00+05:30,294.3,294.3,294.2,294.3,4631
2025-10-01 10:36:00+05:30,294.3,294.45,294.25,294.3,8330
2025-10-01 10:37:00+05:30,294.3,294.3,294.15,294.3,8348
2025-10-01 10:38:00+05:30,294.2,294.4,294.15,294.4,9876
2025-10-01 10:39:00+05:30,294.2,294.45,294.2,294.45,30517
2025-10-01 10:40:00+05:30,294.4,294.75,294.4,294.75,15859
2025-10-01 10:41:00+05:30,294.75,295.0,294.75,295.0,24283
2025-10-01 10:42:00+05:30,294.9,295.0,294.7,294.9,18073
2025-10-01 10:43:00+05:30,294.8,294.8,294.5,294.5,12334
2025-10-01 10:44:00+05:30,294.45,294.45,294.2,294.3,5416
2025-10-01 10:45:00+05:30,294.3,294.3,293.8,293.95,25086
2025-10-01 10:46:00+05:30,293.75,293.75,293.55,293.65,13072
2025-10-01 10:47:00+05:30,293.65,294.0,293.55,294.0,17612
2025-10-01 10:48:00+05:30,294.0,294.1,293.7,294.0,31788
2025-10-01 10:49:00+05:30,294.0,294.2,293.9,294.05,8284
2025-10-01 10:50:00+05:30,294.1,294.3,294.1,294.2,5965
2025-10-01 10:51:00+05:30,294.25,294.25,294.05,294.1,6878
2025-10-01 10:52:00+05:30,294.1,294.2,293.85,294.0,21526
2025-10-01 10:53:00+05:30,293.95,294.2,293.8,294.05,37230
