date,open,high,low,close,volume
2025-10-01 09:15:00+05:30,16026,16109,16001,16077,5954
2025-10-01 09:16:00+05:30,16071,16088,16052,16080,2146
2025-10-01 09:17:00+05:30,16080,16083,16060,16070,2312
2025-10-01 09:18:00+05:30,16065,16065,16054,16057,970
2025-10-01 09:19:00+05:30,16064,16064,16031,16045,2489
2025-10-01 09:20:00+05:30,16036,16047,16024,16047,1488
2025-10-01 09:21:00+05:30,16050,16050,16030,16039,717
2025-10-01 09:22:00+05:30,16046,16047,16035,16047,702
2025-10-01 09:23:00+05:30,16044,16074,16043,16074,685
2025-10-01 09:24:00+05:30,16076,16082,16069,16069,1193
2025-10-01 09:25:00+05:30,16069,16073,16060,16070,688
2025-10-01 09:26:00+05:30,16067,16067,16059,16067,660
2025-10-01 09:27:00+05:30,16066,16071,16056,16059,960
2025-10-01 09:28:00+05:30,16058,16060,16054,16054,385
2025-10-01 09:29:00+05:30,16054,16064,16051,16059,921
2025-10-01 09:30:00+05:30,16061,16066,16052,16062,1003
2025-10-01 09:31:00+05:30,16061,16062,16048,16053,1720
2025-10-01 09:32:00+05:30,16051,16055,16041,16041,541
2025-10-01 09:33:00+05:30,16045,16048,16041,16047,686
2025-10-01 09:34:00+05:30,16047,16057,16040,16044,1358
2025-10-01 09:35:00+05:30,16044,16050,16044,16050,168
2025-10-01 09:36:00+05:30,16043,16045,16035,16042,1365
2025-10-01 09:37:00+05:30,16042,16064,16036,16063,392
2025-10-01 09:38:00+05:30,16064,16064,16054,16056,239
2025-10-01 09:39:00+05:30,16056,16072,16053,16064,563
2025-10-01 09:40:00+05:30,16063,16068,16051,16060,1545
2025-10-01 09:41:00+05:30,16060,16060,16050,16051,418
2025-10-01 09:42:00+05:30,16051,16054,16050,16050,127
2025-10-01 09:43:00+05:30,16050,16056,16050,16056,89
2025-10-01 09:44:00+05:30,16054,16063,16054,16062,402
2025-10-01 09:45:00+05:30,16060,16077,16060,16065,669
2025-10-01 09:46:00+05:30,16068,16068,16060,16060,710
2025-10-01 09:47:00+05:30,16057,16065,16054,16054,757
2025-10-01 09:48:00+05:30,16060,16065,16056,16059,949
2025-10-01 09:49:00+05:30,16059,16059,16032,16046,2065
2025-10-01 09:50:00+05:30,16040,16047,16025,16030,2254
2025-10-01 09:51:00+05:30,16026,16031,15941,15959,5970
2025-10-01 09:52:00+05:30,15960,15962,15935,15938,1134
2025-10-01 09:53:00+05:30,15947,15956,15928,15952,1081
2025-10-01 09:54:00+05:30,15955,15962,15938,15954,1080
2025-10-01 09:55:00+05:30,15957,15959,15947,15951,708
2025-10-01 09:56:00+05:30,15951,15956,15944,15945,663
2025-10-01 09:57:00+05:30,15945,15947,15921,15921,755
2025-10-01 09:58:00+05:30,15925,15945,15919,15945,1860
2025-10-01 09:59:00+05:30,15940,15949,15940,15949,734
2025-10-01 10:00:00+05:30,15949,15960,15947,15948,558
2025-10-01 10:01:00+05:30,15948,15959,15948,15952,293
2025-10-01 10:02:00+05:30,15951,15960,15948,15960,294
2025-10-01 10:03:00+05:30,15956,15958,15940,15952,2527
2025-10-01 10:04:00+05:30,15952,15960,15940,15958,7198
2025-10-01 10:05:00+05:30,15952,15952,15937,15937,240
2025-10-01 10:06:00+05:30,15937,15938,15930,15934,682
2025-10-01 10:07:00+05:30,15928,15940,15928,15932,1060
2025-10-01 10:08:00+05:30,15935,15937,15931,15933,708
2025-10-01 10:09:00+05:30,15933,15934,15907,15910,1303
2025-10-01 10:10:00+05:30,15909,15917,15905,15911,875
2025-10-01 10:11:00+05:30,15911,15914,15905,15911,616
2025-10-01 10:12:00+05:30,15911,15914,15905,15905,473
2025-10-01 10:13:00+05:30,15905,15927,15901,15921,894
2025-10-01 10:14:00+05:30,15921,15939,15920,15930,709
2025-10-01 10:15:00+05:30,15930,15955,15930,15945,559
2025-10-01 10:16:00+05:30,15945,15958,15945,15949,702
2025-10-01 10:17:00+05:30,15949,15954,15947,15951,307
2025-10-01 10:18:00+05:30,15951,15962,15951,15960,423
2025-10-01 10:19:00+05:30,15960,15975,15960,15971,1344
2025-10-01 10:20:00+05:30,15974,15974,15940,15941,698
2025-10-01 10:21:00+05:30,15944,15946,15927,15927,393
2025-10-01 10:22:00+05:30,15927,15928,15915,15921,421
2025-10-01 10:23:00+05:30,15916,15916,15900,15909,927
2025-10-01 10:24:00+05:30,15906,15912,15905,15906,285
2025-10-01 10:25:00+05:30,15906,15907,15883,15886,848
2025-10-01 10:26:00+05:30,15888,15893,15873,15887,1128
2025-10-01 10:27:00+05:30,15887,15899,15884,15892,440
2025-10-01 10:28:00+05:30,15892,15896,15887,15889,396
2025-10-01 10:29:00+05:30,15889,15910,15888,15905,321
2025-10-01 10:30:00+05:30,15905,15918,15905,15909,389
2025-10-01 10:31:00+05:30,15914,15926,15904,15920,565
2025-10-01 10:32:00+05:30,15920,15929,15920,15927,447
2025-10-01 10:33:00+05:30,15927,15933,15922,15922,535
2025-10-01 10:34:00+05:30,15922,15930,15920,15929,227
2025-10-01 10:35:00+05:30,15929,15937,15925,15928,241
2025-10-01 10:36:00+05:30,15925,15932,15922,15932,448
2025-10-01 10:37:00+05:30,15925,15925,15924,15924,171
2025-10-01 10:38:00+05:30,15924,15935,15920,15931,432
2025-10-01 10:39:00+05:30,15926,15928,15920,15921,240
2025-10-01 10:40:00+05:30,15921,15930,15920,15925,449
2025-10-01 10:41:00+05:30,15925,15939,15922,15935,257
2025-10-01 10:42:00+05:30,15935,15936,15928,15928,244
2025-10-01 10:43:00+05:30,15928,15931,15925,15925,192
2025-10-01 10:44:00+05:30,15925,15926,15922,15922,188
2025-10-01 10:45:00+05:30,15922,15927,15921,15921,305
2025-10-01 10:46:00+05:30,15921,15932,15920,15930,549
2025-10-01 10:47:00+05:30,15931,15949,15929,15945,488
2025-10-01 10:48:00+05:30,15945,15945,15933,15944,323
2025-10-01 10:49:00+05:30,15944,15946,15936,15941,144
2025-10-01 10:50:00+05:30,15941,15942,15937,15940,111
2025-10-01 10:51:00+05:30,15940,15941,15925,15927,690
2025-10-01 10:52:00+05:30,15927,15927,15922,15925,306
2025-10-01 10:53:00+05:30,15922,15925,15920,15923,127
2025-10-01 10:54:00+05:30,15917,15919,15907,15915,1336
2025-10-01 10:55:00+05:30,15915,15915,15910,15915,247
2025-10-01 10:56:00+05:30,15915,15915,15910,15911,620
2025-10-01 10:57:00+05:30,15909,15915,15909,15910,237
2025-10-01 10:58:00+05:30,15910,15911,15900,15900,362
2025-10-01 10:59:00+05:30,15900,15909,15893,15905,572
2025-10-01 11:00:00+05:30,15905,15908,15901,15901,274
2025-10-01 11:01:00+05:30,15901,15907,15895,15896,338
2025-10-01 11:02:00+05:30,15896,15900,15895,15897,1393
2025-10-01 11:03:00+05:30,15897,15900,15896,15900,911
2025-10-01 11:04:00+05:30,15900,15901,15896,15896,1365
2025-10-01 11:05:00+05:30,15895,15903,15891,15893,599
2025-10-01 11:06:00+05:30,15893,15894,15884,15892,342
2025-10-01 11:07:00+05:30,15886,15902,15886,15898,472
2025-10-01 11:08:00+05:30,15899,15916,15899,15911,259
2025-10-01 11:09:00+05:30,15911,15918,15911,15918,188
2025-10-01 11:10:00+05:30,15918,15918,15912,15914,335
2025-10-01 11:11:00+05:30,15914,15915,15912,15912,303
2025-10-01 11:12:00+05:30,15912,15918,15912,15913,288
2025-10-01 11:13:00+05:30,15913,15916,15913,15915,131
2025-10-01 11:14:00+05:30,15915,15916,15910,15911,163
2025-10-01 11:15:00+05:30,15911,15918,15898,15905,1190
2025-10-01 11:16:00+05:30,15903,15905,15901,15901,352
2025-10-01 11:17:00+05:30,15901,15905,15897,15898,362
2025-10-01 11:18:00+05:30,15899,15899,15890,15893,218
2025-10-01 11:19:00+05:30,15890,15893,15874,15878,1076
2025-10-01 11:20:00+05:30,15878,15900,15878,15898,422
2025-10-01 11:21:00+05:30,15898,15904,15893,15904,519
2025-10-01 11:22:00+05:30,15904,15910,15900,15900,242
2025-10-01 11:23:00+05:30,15900,15909,15900,15902,307
2025-10-01 11:24:00+05:30,15900,15908,15900,15904,312
2025-10-01 11:25:00+05:30,15904,15916,15904,15907,334
2025-10-01 11:26:00+05:30,15907,15912,15900,15900,1804
2025-10-01 11:27:00+05:30,15900,15911,15900,15904,7905
2025-10-01 11:28:00+05:30,15903,15903,15898,15898,797
2025-10-01 11:29:00+05:30,15900,15902,15900,15901,308
2025-10-01 11:30:00+05:30,15900,15905,15900,15900,457
2025-10-01 11:31:00+05:30,15900,15904,15900,15902,407
2025-10-01 11:32:00+05:30,15900,15908,15900,15903,300
2025-10-01 11:33:00+05:30,15907,15907,15902,15902,265
2025-10-01 11:34:00+05:30,15902,15904,15902,15902,166
2025-10-01 11:35:00+05:30,15902,15907,15900,15904,805
2025-10-01 11:36:00+05:30,15906,15912,15900,15912,897
2025-10-01 11:37:00+05:30,15912,15912,15906,15910,305
2025-10-01 11:38:00+05:30,15910,15914,15910,15910,254
2025-10-01 11:39:00+05:30,15910,15913,15910,15910,215
2025-10-01 11:40:00+05:30,15910,15913,15905,15910,470
2025-10-01 11:41:00+05:30,15910,15911,15905,15910,883
2025-10-01 11:42:00+05:30,15910,15915,15909,15914,550
2025-10-01 11:43:00+05:30,15912,15925,15910,15925,828
2025-10-01 11:44:00+05:30,15921,15928,15920,15921,285
2025-10-01 11:45:00+05:30,15921,15929,15920,15929,464
2025-10-01 11:46:00+05:30,15926,15930,15924,15924,343
2025-10-01 11:47:00+05:30,15924,15926,15915,15916,1390
2025-10-01 11:48:00+05:30,15916,15917,15909,15917,298
2025-10-01 11:49:00+05:30,15917,15917,15912,15915,547
2025-10-01 11:50:00+05:30,15917,15917,15915,15915,124
2025-10-01 11:51:00+05:30,15916,15920,15915,15917,1308
2025-10-01 11:52:00+05:30,15915,15920,15910,15915,1137
2025-10-01 11:53:00+05:30,15915,15918,15910,15915,988
2025-10-01 11:54:00+05:30,15917,15917,15912,15916,589
2025-10-01 11:55:00+05:30,15915,15916,15911,15912,250
2025-10-01 11:56:00+05:30,15912,15917,15912,15915,384
2025-10-01 11:57:00+05:30,15915,15917,15900,15908,24608
2025-10-01 11:58:00+05:30,15907,15907,15886,15889,558
2025-10-01 11:59:00+05:30,15889,15890,15875,15877,638
2025-10-01 12:00:00+05:30,15880,15891,15875,15891,473
2025-10-01 12:01:00+05:30,15891,15891,15886,15889,638
2025-10-01 12:02:00+05:30,15889,15896,15884,15896,453
2025-10-01 12:03:00+05:30,15896,15896,15885,15886,106
2025-10-01 12:04:00+05:30,15885,15886,15884,15884,313
2025-10-01 12:05:00+05:30,15884,15886,15876,15878,502
2025-10-01 12:06:00+05:30,15878,15889,15877,15877,461
2025-10-01 12:07:00+05:30,15877,15878,15862,15870,1228
2025-10-01 12:08:00+05:30,15867,15874,15867,15867,298
2025-10-01 12:09:00+05:30,15867,15869,15865,15865,512
2025-10-01 12:10:00+05:30,15867,15867,15855,15862,727
2025-10-01 12:11:00+05:30,15862,15870,15862,15867,307
2025-10-01 12:12:00+05:30,15867,15869,15862,15867,285
2025-10-01 12:13:00+05:30,15865,15879,15865,15875,483
2025-10-01 12:14:00+05:30,15875,15891,15873,15888,631
2025-10-01 12:15:00+05:30,15885,15892,15880,15882,808
2025-10-01 12:16:00+05:30,15882,15886,15870,15882,602
2025-10-01 12:17:00+05:30,15882,15882,15867,15867,587
2025-10-01 12:18:00+05:30,15867,15869,15860,15864,403
2025-10-01 12:19:00+05:30,15862,15869,15850,15850,1088
2025-10-01 12:20:00+05:30,15852,15868,15850,15860,565
2025-10-01 12:21:00+05:30,15860,15871,15860,15867,166
2025-10-01 12:22:00+05:30,15868,15868,15860,15865,184
2025-10-01 12:23:00+05:30,15865,15871,15864,15869,214
2025-10-01 12:24:00+05:30,15869,15870,15865,15869,224
2025-10-01 12:25:00+05:30,15868,15869,15864,15867,294
2025-10-01 12:26:00+05:30,15869,15870,15862,15870,412
2025-10-01 12:27:00+05:30,15869,15870,15867,15870,264
2025-10-01 12:28:00+05:30,15870,15870,15861,15862,332
2025-10-01 12:29:00+05:30,15862,15867,15861,15867,113
2025-10-01 12:30:00+05:30,15869,15869,15863,15864,2551
2025-10-01 12:31:00+05:30,15864,15870,15864,15868,139
2025-10-01 12:32:00+05:30,15868,15877,15868,15874,422
2025-10-01 12:33:00+05:30,15873,15874,15870,15872,194
2025-10-01 12:34:00+05:30,15872,15872,15868,15871,351
2025-10-01 12:35:00+05:30,15870,15880,15870,15870,312
2025-10-01 12:36:00+05:30,15872,15872,15870,15870,109
2025-10-01 12:37:00+05:30,15871,15874,15870,15872,226
2025-10-01 12:38:00+05:30,15874,15879,15870,15875,169
2025-10-01 12:39:00+05:30,15875,15879,15871,15872,208
2025-10-01 12:40:00+05:30,15877,15880,15870,15875,347
2025-10-01 12:41:00+05:30,15870,15877,15870,15870,199
2025-10-01 12:42:00+05:30,15870,15873,15870,15871,198
2025-10-01 12:43:00+05:30,15870,15871,15868,15868,214
