date,open,high,low,close,volume
2025-10-01 09:15:00+05:30,4711.0,4719.9,4701.1,4704.5,6637
2025-10-01 09:16:00+05:30,4705.5,4711.9,4701.6,4711.0,4553
2025-10-01 09:17:00+05:30,4711.0,4724.0,4710.9,4724.0,4699
2025-10-01 09:18:00+05:30,4723.9,4740.6,4723.9,4731.3,10765
2025-10-01 09:19:00+05:30,4731.3,4737.9,4731.3,4736.1,5145
2025-10-01 09:20:00+05:30,4736.1,4736.7,4732.6,4734.2,3088
2025-10-01 09:21:00+05:30,4735.0,4742.0,4734.2,4740.0,6045
2025-10-01 09:22:00+05:30,4742.8,4752.0,4740.0,4747.8,8830
2025-10-01 09:23:00+05:30,4745.5,4749.0,4744.0,4744.8,3068
2025-10-01 09:24:00+05:30,4744.9,4754.9,4740.0,4754.9,4767
2025-10-01 09:25:00+05:30,4755.0,4755.0,4742.0,4744.0,4465
2025-10-01 09:26:00+05:30,4743.0,4743.8,4736.0,4738.2,3826
2025-10-01 09:27:00+05:30,4740.1,4741.0,4734.0,4738.9,3001
2025-10-01 09:28:00+05:30,4739.0,4740.9,4736.0,4739.9,1235
2025-10-01 09:29:00+05:30,4739.9,4742.2,4738.1,4741.0,658
2025-10-01 09:30:00+05:30,4743.7,4743.7,4738.4,4741.2,1740
2025-10-01 09:31:00+05:30,4742.1,4742.1,4730.0,4731.1,5948
2025-10-01 09:32:00+05:30,4731.1,4735.7,4730.3,4733.0,1088
2025-10-01 09:33:00+05:30,4733.3,4736.0,4732.4,4735.7,942
2025-10-01 09:34:00+05:30,4735.0,4740.6,4733.8,4740.6,845
2025-10-01 09:35:00+05:30,4739.0,4741.0,4739.0,4739.0,988
2025-10-01 09:36:00+05:30,4737.8,4754.0,4737.0,4754.0,4135
2025-10-01 09:37:00+05:30,4754.0,4755.0,4752.3,4754.0,4392
2025-10-01 09:38:00+05:30,4754.0,4754.2,4750.8,4753.0,1499
2025-10-01 09:39:00+05:30,4752.4,4766.4,4752.4,4762.6,11037
2025-10-01 09:40:00+05:30,4763.0,4765.6,4759.8,4765.0,7717
2025-10-01 09:41:00+05:30,4765.4,4768.0,4761.8,4768.0,9216
2025-10-01 09:42:00+05:30,4767.9,4774.0,4767.7,4769.0,4991
2025-10-01 09:43:00+05:30,4768.0,4771.4,4763.2,4768.0,8039
2025-10-01 09:44:00+05:30,4768.0,4768.0,4764.8,4767.2,2774
2025-10-01 09:45:00+05:30,4767.0,4768.0,4765.0,4765.0,2768
2025-10-01 09:46:00+05:30,4765.5,4770.0,4765.0,4768.0,8506
2025-10-01 09:47:00+05:30,4767.4,4769.2,4767.0,4768.9,5803
2025-10-01 09:48:00+05:30,4769.2,4772.0,4769.0,4770.8,2508
2025-10-01 09:49:00+05:30,4770.8,4770.8,4764.0,4766.0,1829
2025-10-01 09:50:00+05:30,4766.0,4773.7,4762.0,4772.6,11661
2025-10-01 09:51:00+05:30,4770.4,4770.4,4760.0,4761.5,4740
2025-10-01 09:52:00+05:30,4761.5,4763.3,4754.8,4757.8,3116
2025-10-01 09:53:00+05:30,4757.8,4758.5,4752.0,4752.0,2644
2025-10-01 09:54:00+05:30,4752.0,4758.5,4751.0,4757.7,2742
2025-10-01 09:55:00+05:30,4758.0,4759.5,4752.0,4753.2,4398
2025-10-01 09:56:00+05:30,4753.0,4755.0,4753.0,4754.1,631
2025-10-01 09:57:00+05:30,4754.1,4754.9,4748.1,4754.0,4625
2025-10-01 09:58:00+05:30,4752.3,4755.0,4752.3,4755.0,1077
2025-10-01 09:59:00+05:30,4755.0,4758.9,4755.0,4757.0,685
2025-10-01 10:00:00+05:30,4758.7,4758.9,4751.6,4753.0,1164
2025-10-01 10:01:00+05:30,4753.0,4753.8,4749.8,4752.9,1894
2025-10-01 10:02:00+05:30,4752.0,4753.7,4746.9,4753.7,880
2025-10-01 10:03:00+05:30,4753.6,4753.7,4740.7,4742.7,2463
2025-10-01 10:04:00+05:30,4744.2,4744.2,4738.3,4741.0,2227
2025-10-01 10:05:00+05:30,4742.0,4742.0,4726.0,4727.0,7041
2025-10-01 10:06:00+05:30,4727.0,4740.2,4727.0,4737.7,4849
