date,open,high,low,close,volume
2025-10-01 09:15:00+05:30,12274,12274,12185,12197,2864
2025-10-01 09:16:00+05:30,12196,12218,12196,12212,831
2025-10-01 09:17:00+05:30,12218,12219,12210,12215,711
2025-10-01 09:18:00+05:30,12216,12217,12212,12212,556
2025-10-01 09:19:00+05:30,12213,12213,12206,12206,300
2025-10-01 09:20:00+05:30,12201,12202,12185,12185,471
2025-10-01 09:21:00+05:30,12185,12185,12175,12177,471
2025-10-01 09:22:00+05:30,12180,12191,12180,12189,273
2025-10-01 09:23:00+05:30,12196,12200,12192,12199,346
2025-10-01 09:24:00+05:30,12199,12200,12197,12197,79
2025-10-01 09:25:00+05:30,12197,12199,12197,12198,51
2025-10-01 09:26:00+05:30,12191,12198,12191,12198,138
2025-10-01 09:27:00+05:30,12195,12198,12194,12198,205
2025-10-01 09:28:00+05:30,12198,12200,12198,12200,99
2025-10-01 09:29:00+05:30,12196,12201,12196,12201,59
2025-10-01 09:30:00+05:30,12201,12205,12197,12197,172
2025-10-01 09:31:00+05:30,12197,12207,12197,12207,410
2025-10-01 09:32:00+05:30,12207,12210,12204,12207,141
2025-10-01 09:33:00+05:30,12207,12214,12207,12214,190
2025-10-01 09:34:00+05:30,12211,12214,12211,12214,129
2025-10-01 09:35:00+05:30,12215,12216,12210,12210,107
2025-10-01 09:36:00+05:30,12210,12212,12209,12212,151
2025-10-01 09:37:00+05:30,12212,12214,12212,12213,161
2025-10-01 09:38:00+05:30,12213,12213,12208,12210,58
2025-10-01 09:39:00+05:30,12210,12210,12208,12210,81
2025-10-01 09:40:00+05:30,12208,12215,12208,12214,311
2025-10-01 09:41:00+05:30,12215,12215,12208,12209,161
2025-10-01 09:42:00+05:30,12209,12209,12206,12207,104
2025-10-01 09:43:00+05:30,12207,12208,12205,12207,199
2025-10-01 09:44:00+05:30,12213,12214,12209,12210,73
2025-10-01 09:45:00+05:30,12210,12214,12210,12213,125
2025-10-01 09:46:00+05:30,12210,12210,12200,12200,187
2025-10-01 09:47:00+05:30,12196,12198,12190,12198,135
2025-10-01 09:48:00+05:30,12195,12207,12195,12203,121
2025-10-01 09:49:00+05:30,12203,12206,12200,12206,69
2025-10-01 09:50:00+05:30,12202,12203,12190,12192,97
2025-10-01 09:51:00+05:30,12183,12187,12183,12185,339
2025-10-01 09:52:00+05:30,12185,12196,12183,12183,233
2025-10-01 09:53:00+05:30,12180,12183,12168,12177,587
2025-10-01 09:54:00+05:30,12177,12189,12175,12186,202
2025-10-01 09:55:00+05:30,12181,12190,12181,12188,96
2025-10-01 09:56:00+05:30,12188,12188,12180,12180,83
2025-10-01 09:57:00+05:30,12180,12186,12180,12185,13
2025-10-01 09:58:00+05:30,12180,12187,12180,12184,87
2025-10-01 09:59:00+05:30,12184,12184,12180,12180,45
2025-10-01 10:00:00+05:30,12180,12180,12173,12180,171
2025-10-01 10:01:00+05:30,12180,12186,12176,12185,356
2025-10-01 10:02:00+05:30,12181,12185,12181,12185,27
2025-10-01 10:03:00+05:30,12185,12185,12154,12156,307
