date,open,high,low,close,volume
2025-10-01 09:15:00+05:30,240.0,240.2,238.41,239.32,77073
2025-10-01 09:16:00+05:30,239.32,239.52,238.34,238.42,76305
2025-10-01 09:17:00+05:30,238.59,239.4,238.45,239.09,53931
2025-10-01 09:18:00+05:30,239.09,239.17,238.51,238.62,22855
2025-10-01 09:19:00+05:30,238.68,239.0,238.4,238.4,37105
2025-10-01 09:20:00+05:30,238.51,238.51,238.21,238.49,21246
2025-10-01 09:21:00+05:30,238.49,238.78,238.23,238.78,20906
2025-10-01 09:22:00+05:30,238.66,238.87,238.62,238.76,12383
2025-10-01 09:23:00+05:30,238.75,238.77,238.5,238.5,15686
2025-10-01 09:24:00+05:30,238.59,238.59,238.22,238.45,15842
2025-10-01 09:25:00+05:30,238.48,238.87,238.48,238.82,13038
2025-10-01 09:26:00+05:30,238.77,238.77,238.49,238.49,21064
2025-10-01 09:27:00+05:30,238.45,238.8,238.45,238.8,9885
2025-10-01 09:28:00+05:30,238.8,239.27,238.8,239.27,18705
2025-10-01 09:29:00+05:30,239.27,239.27,238.99,239.15,16823
2025-10-01 09:30:00+05:30,239.15,239.71,239.15,239.55,32601
2025-10-01 09:31:00+05:30,239.55,239.7,239.41,239.65,23001
2025-10-01 09:32:00+05:30,239.68,239.85,239.6,239.8,21003
2025-10-01 09:33:00+05:30,239.82,239.89,239.71,239.89,13713
2025-10-01 09:34:00+05:30,239.89,239.9,239.75,239.76,6083
2025-10-01 09:35:00+05:30,239.7,239.85,239.65,239.69,12735
2025-10-01 09:36:00+05:30,239.65,239.7,239.51,239.7,8696
2025-10-01 09:37:00+05:30,239.7,239.74,239.59,239.66,13084
2025-10-01 09:38:00+05:30,239.65,239.65,239.18,239.34,35309
2025-10-01 09:39:00+05:30,239.34,239.41,239.25,239.27,17513
2025-10-01 09:40:00+05:30,239.27,239.29,239.25,239.29,11085
2025-10-01 09:41:00+05:30,239.29,239.46,239.21,239.46,15149
2025-10-01 09:42:00+05:30,239.45,239.52,239.45,239.46,10741
2025-10-01 09:43:00+05:30,239.41,239.52,239.41,239.52,4832
2025-10-01 09:44:00+05:30,239.57,239.6,239.51,239.57,11117
2025-10-01 09:45:00+05:30,239.56,239.65,239.53,239.59,13248
2025-10-01 09:46:00+05:30,239.56,239.63,239.39,239.39,8833
2025-10-01 09:47:00+05:30,239.36,239.48,239.34,239.34,19042
2025-10-01 09:48:00+05:30,239.48,239.49,239.43,239.46,7218
2025-10-01 09:49:00+05:30,239.53,239.7,239.52,239.7,9057
2025-10-01 09:50:00+05:30,239.7,239.7,239.34,239.34,11932
2025-10-01 09:51:00+05:30,239.35,239.35,239.18,239.18,20001
2025-10-01 09:52:00+05:30,239.26,239.26,239.07,239.07,11641
2025-10-01 09:53:00+05:30,239.13,239.13,238.85,238.85,21605
2025-10-01 09:54:00+05:30,238.88,238.9,238.8,238.9,8492
2025-10-01 09:55:00+05:30,238.9,239.13,238.9,239.11,7552
2025-10-01 09:56:00+05:30,239.13,239.13,239.08,239.09,3703
2025-10-01 09:57:00+05:30,239.03,239.11,238.93,239.0,10166
2025-10-01 09:58:00+05:30,239.0,239.12,238.93,239.12,14468
2025-10-01 09:59:00+05:30,239.12,239.18,239.0,239.0,6368
2025-10-01 10:00:00+05:30,239.0,239.0,238.85,238.88,7053
2025-10-01 10:01:00+05:30,238.88,238.93,238.85,238.86,13867
2025-10-01 10:02:00+05:30,238.77,238.86,238.7,238.85,8180
2025-10-01 10:03:00+05:30,238.85,238.9,238.47,238.63,23297
2025-10-01 10:04:00+05:30,238.63,238.71,238.54,238.69,17047
2025-10-01 10:05:00+05:30,238.63,238.64,238.3,238.31,18918
2025-10-01 10:06:00+05:30,238.4,238.4,238.23,238.4,12183
2025-10-01 10:07:00+05:30,238.39,238.5,238.3,238.4,14886
2025-10-01 10:08:00+05:30,238.47,238.6,238.41,238.53,16544
2025-10-01 10:09:00+05:30,238.45,238.52,238.31,238.43,12763
2025-10-01 10:10:00+05:30,238.37,238.6,238.31,238.6,9612
2025-10-01 10:11:00+05:30,238.6,238.69,238.57,238.69,5176
2025-10-01 10:12:00+05:30,238.69,238.7,238.5,238.5,6386
2025-10-01 10:13:00+05:30,238.5,238.67,238.5,238.67,4832
2025-10-01 10:14:00+05:30,238.67,238.9,238.67,238.79,7754
2025-10-01 10:15:00+05:30,238.73,238.78,238.61,238.62,6012
2025-10-01 10:16:00+05:30,238.65,238.74,238.63,238.63,15975
2025-10-01 10:17:00+05:30,238.65,238.69,238.59,238.68,7421
2025-10-01 10:18:00+05:30,238.68,238.69,238.63,238.65,6762
2025-10-01 10:19:00+05:30,238.69,238.69,238.58,238.61,4669
2025-10-01 10:20:00+05:30,238.61,238.62,238.57,238.57,4091
2025-10-01 10:21:00+05:30,238.55,238.66,238.55,238.64,12679
2025-10-01 10:22:00+05:30,238.62,238.66,238.53,238.54,6101
2025-10-01 10:23:00+05:30,238.56,238.69,238.5,238.61,6214
2025-10-01 10:24:00+05:30,238.61,238.62,238.58,238.58,8522
2025-10-01 10:25:00+05:30,238.58,238.62,238.54,238.62,11633
2025-10-01 10:26:00+05:30,238.62,238.62,238.54,238.54,6168
2025-10-01 10:27:00+05:30,238.54,238.54,238.5,238.52,7935
2025-10-01 10:28:00+05:30,238.53,238.7,238.51,238.66,9808
2025-10-01 10:29:00+05:30,238.63,238.7,238.56,238.69,10789
2025-10-01 10:30:00+05:30,238.78,238.95,238.68,238.89,12128
2025-10-01 10:31:00+05:30,238.91,238.95,238.85,238.9,10459
